model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.5929832477861131,0.5870325455468441,accuracy,18.81594753265381,58.54228210449219,2211.9820861816406,0.011124849319458008,0.010016441345214844,4.412665843963623,3,True,17
RandomForestEntr_BAG_L2,0.5928140335044277,0.5820407242371256,accuracy,14.099192380905151,47.02639150619507,1629.4614598751068,0.9336698055267334,6.686373710632324,72.83605813980103,2,True,15
NeuralNetFastAI_BAG_L2,0.5917987478143155,0.5829855039765356,accuracy,16.963860273361206,44.92117643356323,2054.9165930747986,3.798337697982788,4.581158638000488,498.2911913394928,2,True,11
RandomForestGini_BAG_L2,0.5900502002369,0.5807575159343449,accuracy,13.965541362762451,46.27078032493591,1604.4736032485962,0.8000187873840332,5.930762529373169,47.848201513290405,2,True,14
WeightedEnsemble_L2,0.5885836764622934,0.5841559027581928,accuracy,12.803433895111084,39.387165546417236,757.5556449890137,0.02509903907775879,0.010996818542480469,2.7220370769500732,2,True,10
NeuralNetFastAI_BAG_L1,0.58627108127926,0.5758785041457499,accuracy,3.8928134441375732,4.741089344024658,520.9835937023163,3.8928134441375732,4.741089344024658,520.9835937023163,1,True,1
RandomForestGini_BAG_L1,0.5854814146313949,0.5759349089063117,accuracy,1.616685390472412,5.287330389022827,19.239237546920776,1.616685390472412,5.287330389022827,19.239237546920776,1,True,4
RandomForestEntr_BAG_L1,0.5849737717863388,0.5754272660612556,accuracy,1.5759849548339844,5.926037788391113,19.155391931533813,1.5759849548339844,5.926037788391113,19.155391931533813,1,True,5
ExtraTreesEntr_BAG_L1,0.5818151051948784,0.5719301709064245,accuracy,0.9978950023651123,5.701910734176636,12.995912313461304,0.9978950023651123,5.701910734176636,12.995912313461304,1,True,8
ExtraTreesGini_BAG_L1,0.5793332957301597,0.5710135935472954,accuracy,0.9778444766998291,6.320155382156372,15.032058954238892,0.9778444766998291,6.320155382156372,15.032058954238892,1,True,7
XGBoost_BAG_L1,0.5105758926053359,0.49163799424671445,accuracy,1.754312515258789,5.273393630981445,113.4082396030426,1.754312515258789,5.273393630981445,113.4082396030426,1,True,9
LightGBM_BAG_L2,0.4985052738451125,0.4765779231767161,accuracy,13.623244524002075,41.7519097328186,1589.2359850406647,0.4577219486236572,1.4118919372558594,32.61058330535889,2,True,13
LightGBM_BAG_L1,0.4939364882396074,0.47508319702182866,accuracy,0.8802027702331543,2.3371245861053467,26.731134176254272,0.8802027702331543,2.3371245861053467,26.731134176254272,1,True,3
LightGBMXT_BAG_L1,0.4928647977889334,0.48238761351458065,accuracy,1.0825963020324707,3.7891268730163574,27.288039684295654,1.0825963020324707,3.7891268730163574,27.288039684295654,1,True,2
LightGBMXT_BAG_L2,0.49179310733825937,0.4793276552541034,accuracy,13.500603437423706,42.02362084388733,1588.8276317119598,0.3350808620452881,1.683603048324585,32.20222997665405,2,True,12
CatBoost_BAG_L2,0.48186586947938403,0.46347791753624007,accuracy,13.272796392440796,41.33397078514099,1588.5939693450928,0.10727381706237793,0.9939529895782471,31.968567609786987,2,True,16
CatBoost_BAG_L1,0.47757910767668793,0.4758587624795533,accuracy,0.3871877193450928,0.9638490676879883,801.7917938232422,0.3871877193450928,0.9638490676879883,801.7917938232422,1,True,6
